dep,nomdep,codecommune,nomcommune,statut1999,codecommune2,dep2
01,AIN,01001,ABERGEMENT-CLEMENCIAT,1,01001,01
01,AIN,01002,ABERGEMENT-DE-VAREY,1,01002,01
01,AIN,01003,AMAREINS,3,01165,01
01,AIN,01004,AMBERIEU-EN-BUGEY,1,01004,01
01,AIN,01005,AMBERIEUX-EN-DOMBES,1,01005,01
01,AIN,01006,AMBLEON,1,01006,01
01,AIN,01007,AMBRONAY,1,01007,01
01,AIN,01008,AMBUTRIX,1,01008,01
01,AIN,01009,ANDERT-ET-CONDON,1,01009,01
01,AIN,01010,ANGLEFORT,1,01010,01
01,AIN,01011,APREMONT,1,01011,01
01,AIN,01012,ARANC,1,01012,01
01,AIN,01013,ARANDAS,1,01013,01
01,AIN,01014,ARBENT,1,01014,01
01,AIN,01015,ARBIGNIEU,1,01015,01
01,AIN,01016,ARBIGNY,1,01016,01
01,AIN,01017,ARGIS,1,01017,01
01,AIN,01018,ARLOD,3,01033,01
01,AIN,01019,ARMIX,1,01019,01
01,AIN,01020,ARNANS,3,01125,01
01,AIN,01021,ARS-SUR-FORMANS,1,01021,01
01,AIN,01022,ARTEMARE,1,01022,01
01,AIN,01023,ASNIERES-SUR-SAONE,1,01023,01
01,AIN,01024,ATTIGNAT,1,01024,01
01,AIN,01025,BAGE-LA-VILLE,1,01025,01
01,AIN,01026,BAGE-LE-CHATEL,1,01026,01
01,AIN,01027,BALAN,1,01027,01
01,AIN,01028,BANEINS,1,01028,01
01,AIN,01029,BEAUPONT,1,01029,01
01,AIN,01030,BEAUREGARD,1,01030,01
01,AIN,01031,BELLIGNAT,1,01031,01
01,AIN,01032,BELIGNEUX,1,01032,01
01,AIN,01033,BELLEGARDE-SUR-VALSERINE,1,01033,01
01,AIN,01034,BELLEY,1,01034,01
01,AIN,01035,BELLEYDOUX,1,01035,01
01,AIN,01036,BELMONT-LUTHEZIEU,1,01036,01
01,AIN,01037,BENONCES,1,01037,01
01,AIN,01038,BENY,1,01038,01
01,AIN,01039,BEON,1,01039,01
01,AIN,01040,BEREZIAT,1,01040,01
01,AIN,01041,BETTANT,1,01041,01
01,AIN,01042,BEY,1,01042,01
01,AIN,01043,BEYNOST,1,01043,01
01,AIN,01044,BILLIAT,1,01044,01
01,AIN,01045,BIRIEUX,1,01045,01
01,AIN,01046,BIZIAT,1,01046,01
01,AIN,01047,BLYES,1,01047,01
01,AIN,01048,BOHAS,2,01245,01
01,AIN,01049,BOISSE,1,01049,01
01,AIN,01050,BOISSEY,1,01050,01
01,AIN,01051,BOLOZON,1,01051,01
01,AIN,01052,BOULIGNEUX,1,01052,01
01,AIN,01053,BOURG-EN-BRESSE,1,01053,01
01,AIN,01054,BOURG-SAINT-CHRISTOPHE,1,01054,01
01,AIN,01055,BOUVENT,3,01283,01
