codecommune,nomcommune,dep,depancien,codecommuneancien
2A001,AFA,2A,CO2A,20001
2A004,AJACCIO,2A,CO2A,20004
2A006,ALATA,2A,CO2A,20006
2A008,ALBITRECCIA,2A,CO2A,20008
2A011,ALTAGENE,2A,CO2A,20011
2A014,AMBIEGNA,2A,CO2A,20014
2A017,APPIETTO,2A,CO2A,20017
2A018,ARBELLARA,2A,CO2A,20018
2A019,ARBORI,2A,CO2A,20019
2A021,ARGIUSTA-MORICCIO,2A,CO2A,20021
2A022,ARRO,2A,CO2A,20022
2A024,AULLENE,2A,CO2A,20024
2A026,AZILONE-AMPAZA,2A,CO2A,20026
2A027,AZZANA,2A,CO2A,20027
2A028,BALOGNA,2A,CO2A,20028
2A031,BASTELICA,2A,CO2A,20031
2A032,BASTELICACCIA,2A,CO2A,20032
2A035,BELVEDERE-CAMPOMORO,2A,CO2A,20035
2A038,BILIA,2A,CO2A,20038
2A040,BOCOGNANO,2A,CO2A,20040
2A041,BONIFACIO,2A,CO2A,20041
2A048,CALCATOGGIO,2A,CO2A,20048
2A056,CAMPO,2A,CO2A,20056
2A060,CANNELLE,2A,CO2A,20060
2A061,CARBINI,2A,CO2A,20061
2A062,CARBUCCIA,2A,CO2A,20062
2A064,CARDO-TORGIA,2A,CO2A,20064
2A065,CARGESE,2A,CO2A,20065
2A066,CARGIACA,2A,CO2A,20066
2A070,CASAGLIONE,2A,CO2A,20070
2A071,CASALABRIVA,2A,CO2A,20071
2A085,CAURO,2A,CO2A,20085
2A089,CIAMANNACCE,2A,CO2A,20089
2A090,COGGIA,2A,CO2A,20090
2A091,COGNOCOLI-MONTICCHI,2A,CO2A,20091
2A092,CONCA,2A,CO2A,20092
2A094,CORRANO,2A,CO2A,20094
2A098,COTI-CHIAVARI,2A,CO2A,20098
2A099,COZZANO,2A,CO2A,20099
2A100,CRISTINACCE,2A,CO2A,20100
2A103,CUTTOLI-CORTICCHIATO,2A,CO2A,20103
2A104,ECCICA-SUARELLA,2A,CO2A,20104
2A108,EVISA,2A,CO2A,20108
2A114,FIGARI,2A,CO2A,20114
2A115,FOCE,2A,CO2A,20115
2A117,FORCIOLO,2A,CO2A,20117
2A118,FOZZANO,2A,CO2A,20118
2A119,FRASSETO,2A,CO2A,20119
2A127,GIUNCHETO,2A,CO2A,20127
2A128,GRANACE,2A,CO2A,20128
2A129,GROSSA,2A,CO2A,20129
2A130,GROSSETO-PRUGNA,2A,CO2A,20130
2A131,GUAGNO,2A,CO2A,20131
2A132,GUARGUALE,2A,CO2A,20132
2A133,GUITERA-LES-BAINS,2A,CO2A,20133
2A139,LECCI,2A,CO2A,20139
2A141,LETIA,2A,CO2A,20141
2A142,LEVIE,2A,CO2A,20142
2A144,LOPIGNA,2A,CO2A,20144
2A146,LORETO-DI-TALLANO,2A,CO2A,20146
2A154,MARIGNANA,2A,CO2A,20154
2A158,MELA,2A,CO2A,20158
2A160,MOCA-CROCE,2A,CO2A,20160
2A163,MONACIA-D'AULLENE,2A,CO2A,20163
2A174,MURZO,2A,CO2A,20174
2A181,OCANA,2A,CO2A,20181
2A186,OLIVESE,2A,CO2A,20186
2A189,OLMETO,2A,CO2A,20189
2A191,OLMICCIA,2A,CO2A,20191
2A196,ORTO,2A,CO2A,20196
2A197,OSANI,2A,CO2A,20197
2A198,OTA,2A,CO2A,20198
2A200,PALNECA,2A,CO2A,20200
2A203,PARTINELLO,2A,CO2A,20203
2A204,PASTRICCIOLA,2A,CO2A,20204
2A209,PERI,2A,CO2A,20209
2A211,PETRETO-BICCHISANO,2A,CO2A,20211
2A212,PIANA,2A,CO2A,20212
2A215,PIANOTOLLI-CALDARELLO,2A,CO2A,20215
2A228,PIETROSELLA,2A,CO2A,20228
2A232,PILA-CANALE,2A,CO2A,20232
2A240,POGGIOLO,2A,CO2A,20240
2A247,PORTO-VECCHIO,2A,CO2A,20247
2A249,PROPRIANO,2A,CO2A,20249
2A253,QUASQUARA,2A,CO2A,20253
2A254,QUENZA,2A,CO2A,20254
2A258,RENNO,2A,CO2A,20258
2A259,REZZA,2A,CO2A,20259
2A262,ROSAZIA,2A,CO2A,20262
2A266,SALICE,2A,CO2A,20266
2A268,SAMPOLO,2A,CO2A,20268
2A269,SARI-SOLENZARA,2A,CO2A,20269
2A270,SARI-D'ORCINO,2A,CO2A,20270
2A271,SARROLA-CARCOPINO,2A,CO2A,20271
2A272,SARTENE,2A,CO2A,20272
2A276,SERRA-DI-FERRO,2A,CO2A,20276
2A278,SERRA-DI-SCOPAMENE,2A,CO2A,20278
2A279,SERRIERA,2A,CO2A,20279
2A282,SOCCIA,2A,CO2A,20282
2A284,SOLLACARO,2A,CO2A,20284
2A285,SORBOLLANO,2A,CO2A,20285
2A288,SOTTA,2A,CO2A,20288
2A295,SANT'ANDREA-D'ORCINO,2A,CO2A,20295
2A300,SAN-GAVINO-DI-CARBINI,2A,CO2A,20300
2A308,SAINTE-LUCIE-DE-TALLANO,2A,CO2A,20308
2A310,SANTA-MARIA-FIGANIELLA,2A,CO2A,20310
2A312,SANTA-MARIA-SICHE,2A,CO2A,20312
2A322,TASSO,2A,CO2A,20322
2A323,TAVACO,2A,CO2A,20323
2A324,TAVERA,2A,CO2A,20324
2A326,TOLLA,2A,CO2A,20326
2A330,UCCIANI,2A,CO2A,20330
2A331,URBALACONE,2A,CO2A,20331
2A336,VALLE-DI-MEZZANA,2A,CO2A,20336
2A345,VERO,2A,CO2A,20345
2A348,VICO,2A,CO2A,20348
2A349,VIGGIANELLO,2A,CO2A,20349
2A351,VILLANOVA,2A,CO2A,20351
2A357,ZERUBIA,2A,CO2A,20357
2A358,ZEVACO,2A,CO2A,20358
2A359,ZICAVO,2A,CO2A,20359
2A360,ZIGLIARA,2A,CO2A,20360
2A362,ZONZA,2A,CO2A,20362
2A363,ZOZA,2A,CO2A,20363
2B002,AGHIONE,2B,CO2B,20002
2B003,AITI,2B,CO2B,20003
2B005,ALANDO,2B,CO2B,20005
2B007,ALBERTACCE,2B,CO2B,20007
2B009,ALERIA,2B,CO2B,20009
2B010,ALGAJOLA,2B,CO2B,20010
2B012,ALTIANI,2B,CO2B,20012
2B013,ALZI,2B,CO2B,20013
2B015,AMPRIANI,2B,CO2B,20015
2B016,ANTISANTI,2B,CO2B,20016
2B020,AREGNO,2B,CO2B,20020
2B023,ASCO,2B,CO2B,20023
2B025,AVAPESSA,2B,CO2B,20025
2B029,BARBAGGIO,2B,CO2B,20029
2B030,BARRETTALI,2B,CO2B,20030
2B033,BASTIA,2B,CO2B,20033
2B034,BELGODERE,2B,CO2B,20034
2B036,BIGORNO,2B,CO2B,20036
2B037,BIGUGLIA,2B,CO2B,20037
2B039,BISINCHI,2B,CO2B,20039
2B042,BORGO,2B,CO2B,20042
2B043,BRANDO,2B,CO2B,20043
2B045,BUSTANICO,2B,CO2B,20045
2B046,CAGNANO,2B,CO2B,20046
2B047,CALACUCCIA,2B,CO2B,20047
2B049,CALENZANA,2B,CO2B,20049
2B050,CALVI,2B,CO2B,20050
2B051,CAMBIA,2B,CO2B,20051
2B052,CAMPANA,2B,CO2B,20052
2B053,CAMPI,2B,CO2B,20053
2B054,CAMPILE,2B,CO2B,20054
2B055,CAMPITELLO,2B,CO2B,20055
2B057,CANALE-DI-VERDE,2B,CO2B,20057
2B058,CANARI,2B,CO2B,20058
2B059,CANAVAGGIA,2B,CO2B,20059
2B063,CARCHETO-BRUSTICO,2B,CO2B,20063
2B067,CARPINETO,2B,CO2B,20067
2B068,CARTICASI,2B,CO2B,20068
2B069,CASABIANCA,2B,CO2B,20069
2B072,CASALTA,2B,CO2B,20072
2B073,CASAMACCIOLI,2B,CO2B,20073
2B074,CASANOVA,2B,CO2B,20074
2B075,CASEVECCHIE,2B,CO2B,20075
2B077,CASTELLARE-DI-CASINCA,2B,CO2B,20077
2B078,CASTELLARE-DI-MERCURIO,2B,CO2B,20078
2B079,CASTELLO-DI-ROSTINO,2B,CO2B,20079
2B080,CASTIFAO,2B,CO2B,20080
2B081,CASTIGLIONE,2B,CO2B,20081
2B082,CASTINETA,2B,CO2B,20082
2B083,CASTIRLA,2B,CO2B,20083
2B084,CATERI,2B,CO2B,20084
2B086,CENTURI,2B,CO2B,20086
2B087,CERVIONE,2B,CO2B,20087
2B088,CHIATRA,2B,CO2B,20088
2B093,CORBARA,2B,CO2B,20093
2B095,CORSCIA,2B,CO2B,20095
2B096,CORTE,2B,CO2B,20096
2B097,COSTA,2B,CO2B,20097
2B101,CROCE,2B,CO2B,20101
2B102,CROCICCHIA,2B,CO2B,20102
2B105,ERBAJOLO,2B,CO2B,20105
2B106,ERONE,2B,CO2B,20106
2B107,ERSA,2B,CO2B,20107
2B109,FARINOLE,2B,CO2B,20109
2B110,FAVALELLO,2B,CO2B,20110
