dep,nomdep,canton,nomcanton,codecommune,nomcommune,nombrecantons,statut1999,dep2,codecommune2,arrondt,nomarrondt,typecanton
01,AIN,1,AMBERIEU-EN-BUGEY,01002,ABERGEMENT-DE-VAREY,1,1,01,01002,1,BELLEY,1
01,AIN,1,AMBERIEU-EN-BUGEY,01004,AMBERIEU-EN-BUGEY,1,1,01,01004,1,BELLEY,1
01,AIN,1,AMBERIEU-EN-BUGEY,01007,AMBRONAY,1,1,01,01007,1,BELLEY,1
01,AIN,1,AMBERIEU-EN-BUGEY,01041,BETTANT,1,1,01,01041,1,BELLEY,1
01,AIN,1,AMBERIEU-EN-BUGEY,01089,CHATEAU-GAILLARD,1,1,01,01089,1,BELLEY,1
01,AIN,1,AMBERIEU-EN-BUGEY,01149,DOUVRES,1,1,01,01149,1,BELLEY,1
01,AIN,1,AMBERIEU-EN-BUGEY,01345,SAINT-DENIS-EN-BUGEY,1,1,01,01345,1,BELLEY,1
01,AIN,1,AMBERIEU-EN-BUGEY,01379,SAINT-MAURICE-DE-REMENS,1,1,01,01379,1,BELLEY,1
01,AIN,2,BAGE-LE-CHATEL,01023,ASNIERES-SUR-SAONE,1,1,01,01023,2,BOURG-EN-BRESSE,1
01,AIN,2,BAGE-LE-CHATEL,01025,BAGE-LA-VILLE,1,1,01,01025,2,BOURG-EN-BRESSE,1
01,AIN,2,BAGE-LE-CHATEL,01026,BAGE-LE-CHATEL,1,1,01,01026,2,BOURG-EN-BRESSE,1
01,AIN,2,BAGE-LE-CHATEL,01144,DOMMARTIN,1,1,01,01144,2,BOURG-EN-BRESSE,1
01,AIN,2,BAGE-LE-CHATEL,01159,FEILLENS,1,1,01,01159,2,BOURG-EN-BRESSE,1
01,AIN,2,BAGE-LE-CHATEL,01231,MANZIAT,1,1,01,01231,2,BOURG-EN-BRESSE,1
01,AIN,2,BAGE-LE-CHATEL,01320,REPLONGES,1,1,01,01320,2,BOURG-EN-BRESSE,1
01,AIN,2,BAGE-LE-CHATEL,01332,SAINT-ANDRE-DE-BAGE,1,1,01,01332,2,BOURG-EN-BRESSE,1
01,AIN,2,BAGE-LE-CHATEL,01370,SAINT-LAURENT-SUR-SAONE,1,1,01,01370,2,BOURG-EN-BRESSE,1
01,AIN,2,BAGE-LE-CHATEL,01439,VESINES,1,1,01,01439,2,BOURG-EN-BRESSE,1
01,AIN,3,BELLEGARDE-SUR-VALSERINE,01033,BELLEGARDE-SUR-VALSERINE,1,1,01,01033,4,NANTUA,1
01,AIN,3,BELLEGARDE-SUR-VALSERINE,01044,BILLIAT,1,1,01,01044,4,NANTUA,1
01,AIN,3,BELLEGARDE-SUR-VALSERINE,01081,CHAMPFROMIER,1,1,01,01081,4,NANTUA,1
01,AIN,3,BELLEGARDE-SUR-VALSERINE,01091,CHATILLON-EN-MICHAILLE,1,1,01,01091,4,NANTUA,1
01,AIN,3,BELLEGARDE-SUR-VALSERINE,01174,GIRON,1,1,01,01174,4,NANTUA,1
01,AIN,3,BELLEGARDE-SUR-VALSERINE,01189,INJOUX-GENISSIAT,1,1,01,01189,4,NANTUA,1
01,AIN,3,BELLEGARDE-SUR-VALSERINE,01215,LHOPITAL,1,1,01,01215,4,NANTUA,1
01,AIN,3,BELLEGARDE-SUR-VALSERINE,01257,MONTANGES,1,1,01,01257,4,NANTUA,1
01,AIN,3,BELLEGARDE-SUR-VALSERINE,01298,PLAGNE,1,1,01,01298,4,NANTUA,1
01,AIN,3,BELLEGARDE-SUR-VALSERINE,01357,SAINT-GERMAIN-DE-JOUX,1,1,01,01357,4,NANTUA,1
01,AIN,3,BELLEGARDE-SUR-VALSERINE,01413,SURJOUX,1,1,01,01413,4,NANTUA,1
01,AIN,3,BELLEGARDE-SUR-VALSERINE,01448,VILLES,1,1,01,01448,4,NANTUA,1
01,AIN,4,BELLEY,01006,AMBLEON,1,1,01,01006,1,BELLEY,1
01,AIN,4,BELLEY,01009,ANDERT-ET-CONDON,1,1,01,01009,1,BELLEY,1
01,AIN,4,BELLEY,01015,ARBIGNIEU,1,1,01,01015,1,BELLEY,1
01,AIN,4,BELLEY,01034,BELLEY,1,1,01,01034,1,BELLEY,1
01,AIN,4,BELLEY,01058,BREGNIER-CORDON,1,1,01,01058,1,BELLEY,1
01,AIN,4,BELLEY,01061,BRENS,1,1,01,01061,1,BELLEY,1
01,AIN,4,BELLEY,01098,CHAZEY-BONS,1,1,01,01098,1,BELLEY,1
01,AIN,4,BELLEY,01110,COLOMIEU,1,1,01,01110,1,BELLEY,1
01,AIN,4,BELLEY,01117,CONZIEU,1,1,01,01117,1,BELLEY,1
01,AIN,4,BELLEY,01133,CRESSIN-ROCHEFORT,1,1,01,01133,1,BELLEY,1
01,AIN,4,BELLEY,01193,IZIEU,1,1,01,01193,1,BELLEY,1
01,AIN,4,BELLEY,01208,LAVOURS,1,1,01,01208,1,BELLEY,1
01,AIN,4,BELLEY,01227,MAGNIEU,1,1,01,01227,1,BELLEY,1
01,AIN,4,BELLEY,01239,MASSIGNIEU-DE-RIVES,1,1,01,01239,1,BELLEY,1
01,AIN,4,BELLEY,01268,MURS-ET-GELIGNIEUX,1,1,01,01268,1,BELLEY,1
01,AIN,4,BELLEY,01271,NATTAGES,1,1,01,01271,1,BELLEY,1
01,AIN,4,BELLEY,01286,PARVES,1,1,01,01286,1,BELLEY,1
01,AIN,4,BELLEY,01294,PEYRIEU,1,1,01,01294,1,BELLEY,1
01,AIN,4,BELLEY,01302,POLLIEU,1,1,01,01302,1,BELLEY,1
01,AIN,4,BELLEY,01310,PREMEYZEL,1,1,01,01310,1,BELLEY,1
01,AIN,4,BELLEY,01340,SAINT-BOIS,1,1,01,01340,1,BELLEY,1
01,AIN,4,BELLEY,01341,SAINT-CHAMP,1,1,01,01341,1,BELLEY,1
01,AIN,4,BELLEY,01358,SAINT-GERMAIN-LES-PAROISSES,1,1,01,01358,1,BELLEY,1
01,AIN,4,BELLEY,01454,VIRIGNIN,1,1,01,01454,1,BELLEY,1
01,AIN,5,BOURG-EN-BRESSE-EST,01053,BOURG-EN-BRESSE,3,1,01,01053,2,BOURG-EN-BRESSE,4
01,AIN,6,BRENOD,01060,BRENOD,1,1,01,01060,4,NANTUA,1
01,AIN,6,BRENOD,01080,CHAMPDOR,1,1,01,01080,4,NANTUA,1
01,AIN,6,BRENOD,01101,CHEVILLARD,1,1,01,01101,4,NANTUA,1
01,AIN,6,BRENOD,01112,CONDAMINE,1,1,01,01112,4,NANTUA,1
01,AIN,6,BRENOD,01119,CORCELLES,1,1,01,01119,4,NANTUA,1
01,AIN,6,BRENOD,01176,GRAND-ABERGEMENT,1,1,01,01176,4,NANTUA,1
01,AIN,6,BRENOD,01187,HOTONNES,1,1,01,01187,4,NANTUA,1
01,AIN,6,BRENOD,01191,IZENAVE,1,1,01,01191,4,NANTUA,1
01,AIN,6,BRENOD,01206,LANTENAY,1,1,01,01206,4,NANTUA,1
01,AIN,6,BRENOD,01282,OUTRIAZ,1,1,01,01282,4,NANTUA,1
01,AIN,6,BRENOD,01292,PETIT-ABERGEMENT,1,1,01,01292,4,NANTUA,1
01,AIN,6,BRENOD,01441,VIEU-D'IZENAVE,1,1,01,01441,4,NANTUA,1
01,AIN,7,CEYZERIAT,01072,CEYZERIAT,1,1,01,01072,2,BOURG-EN-BRESSE,1
01,AIN,7,CEYZERIAT,01106,CIZE,1,1,01,01106,2,BOURG-EN-BRESSE,1
01,AIN,7,CEYZERIAT,01150,DROM,1,1,01,01150,2,BOURG-EN-BRESSE,1
01,AIN,7,CEYZERIAT,01177,GRAND-CORENT,1,1,01,01177,2,BOURG-EN-BRESSE,1
01,AIN,7,CEYZERIAT,01184,HAUTECOURT-ROMANECHE,1,1,01,01184,2,BOURG-EN-BRESSE,1
01,AIN,7,CEYZERIAT,01195,JASSERON,1,1,01,01195,2,BOURG-EN-BRESSE,1
01,AIN,7,CEYZERIAT,01245,BOHAS-MEYRIAT-RIGNAT,1,1,01,01245,2,BOURG-EN-BRESSE,1
01,AIN,7,CEYZERIAT,01317,RAMASSE,1,1,01,01317,2,BOURG-EN-BRESSE,1
01,AIN,7,CEYZERIAT,01321,REVONNAS,1,1,01,01321,2,BOURG-EN-BRESSE,1
01,AIN,7,CEYZERIAT,01408,SIMANDRE-SUR-SURAN,1,1,01,01408,2,BOURG-EN-BRESSE,1
01,AIN,7,CEYZERIAT,01447,VILLEREVERSURE,1,1,01,01447,2,BOURG-EN-BRESSE,1
01,AIN,8,CHALAMONT,01074,CHALAMONT,1,1,01,01074,2,BOURG-EN-BRESSE,1
01,AIN,8,CHALAMONT,01090,CHATENAY,1,1,01,01090,2,BOURG-EN-BRESSE,1
01,AIN,8,CHALAMONT,01092,CHATILLON-LA-PALUD,1,1,01,01092,2,BOURG-EN-BRESSE,1
01,AIN,8,CHALAMONT,01129,CRANS,1,1,01,01129,2,BOURG-EN-BRESSE,1
01,AIN,8,CHALAMONT,01299,PLANTAY,1,1,01,01299,2,BOURG-EN-BRESSE,1
01,AIN,8,CHALAMONT,01381,SAINT-NIZIER-LE-DESERT,1,1,01,01381,2,BOURG-EN-BRESSE,1
01,AIN,8,CHALAMONT,01434,VERSAILLEUX,1,1,01,01434,2,BOURG-EN-BRESSE,1
01,AIN,8,CHALAMONT,01449,VILLETTE-SUR-AIN,1,1,01,01449,2,BOURG-EN-BRESSE,1
01,AIN,9,CHAMPAGNE-EN-VALROMEY,01022,ARTEMARE,1,1,01,01022,1,BELLEY,1
01,AIN,9,CHAMPAGNE-EN-VALROMEY,01036,BELMONT-LUTHEZIEU,1,1,01,01036,1,BELLEY,1
01,AIN,9,CHAMPAGNE-EN-VALROMEY,01039,BEON,1,1,01,01039,1,BELLEY,1
01,AIN,9,CHAMPAGNE-EN-VALROMEY,01059,BRENAZ,1,1,01,01059,1,BELLEY,1
01,AIN,9,CHAMPAGNE-EN-VALROMEY,01079,CHAMPAGNE-EN-VALROMEY,1,1,01,01079,1,BELLEY,1
01,AIN,9,CHAMPAGNE-EN-VALROMEY,01097,CHAVORNAY,1,1,01,01097,1,BELLEY,1
01,AIN,9,CHAMPAGNE-EN-VALROMEY,01218,LOCHIEU,1,1,01,01218,1,BELLEY,1
01,AIN,9,CHAMPAGNE-EN-VALROMEY,01221,LOMPNIEU,1,1,01,01221,1,BELLEY,1
01,AIN,9,CHAMPAGNE-EN-VALROMEY,01330,RUFFIEU,1,1,01,01330,1,BELLEY,1
01,AIN,9,CHAMPAGNE-EN-VALROMEY,01409,SONGIEU,1,1,01,01409,1,BELLEY,1
01,AIN,9,CHAMPAGNE-EN-VALROMEY,01414,SUTRIEU,1,1,01,01414,1,BELLEY,1
01,AIN,9,CHAMPAGNE-EN-VALROMEY,01415,TALISSIEU,1,1,01,01415,1,BELLEY,1
01,AIN,9,CHAMPAGNE-EN-VALROMEY,01442,VIEU,1,1,01,01442,1,BELLEY,1
01,AIN,9,CHAMPAGNE-EN-VALROMEY,01453,VIRIEU-LE-PETIT,1,1,01,01453,1,BELLEY,1
01,AIN,10,CHATILLON-SUR-CHALARONNE,01001,ABERGEMENT-CLEMENCIAT,1,1,01,01001,2,BOURG-EN-BRESSE,1
01,AIN,10,CHATILLON-SUR-CHALARONNE,01046,BIZIAT,1,1,01,01046,2,BOURG-EN-BRESSE,1
01,AIN,10,CHATILLON-SUR-CHALARONNE,01084,CHANOZ-CHATENAY,1,1,01,01084,2,BOURG-EN-BRESSE,1
01,AIN,10,CHATILLON-SUR-CHALARONNE,01093,CHATILLON-SUR-CHALARONNE,1,1,01,01093,2,BOURG-EN-BRESSE,1
01,AIN,10,CHATILLON-SUR-CHALARONNE,01096,CHAVEYRIAT,1,1,01,01096,2,BOURG-EN-BRESSE,1
01,AIN,10,CHATILLON-SUR-CHALARONNE,01113,CONDEISSIAT,1,1,01,01113,2,BOURG-EN-BRESSE,1
01,AIN,10,CHATILLON-SUR-CHALARONNE,01146,DOMPIERRE-SUR-CHALARONNE,1,1,01,01146,2,BOURG-EN-BRESSE,1
