dep,nomdep,arrondt,nomarrondt,nomdistrict
54,MEURTHE-ET-MOSELLE,1,BRIEY,BRIEY
54,MEURTHE-ET-MOSELLE,2,LUNEVILLE,LUNEVILLE
54,MEURTHE-ET-MOSELLE,3,NANCY,NANCY
54,MEURTHE-ET-MOSELLE,4,TOUL,TOUL
57,MOSELLE,1,BOULAY-MOSELLE,BOULAY
57,MOSELLE,2,CHATEAU-SALINS,CHATEAU-SALINS
57,MOSELLE,3,FORBACH,FORBACH
57,MOSELLE,4,METZ-CAMPAGNE,METZ
57,MOSELLE,5,SARREBOURG,SARREBOURG
57,MOSELLE,6,SARREGUEMINES,SARREGUEMINES
57,MOSELLE,7,THIONVILLE-EST,THIONVILLE
57,MOSELLE,8,THIONVILLE-OUEST,THIONVILLE
57,MOSELLE,9,METZ-VILLE,METZ
67,BAS-RHIN,2,HAGUENAU,HAGUENAU
67,BAS-RHIN,3,MOLSHEIM,STRASBOURG
67,BAS-RHIN,4,SAVERNE,HAGUENAU
67,BAS-RHIN,5,SELESTAT-ERSTEIN,BENFELD
67,BAS-RHIN,6,STRASBOURG-CAMPAGNE,STRASBOURG
67,BAS-RHIN,7,WISSEMBOURG,WISSEMBOURG
67,BAS-RHIN,8,STRASBOURG-VILLE,STRASBOURG
68,HAUT-RHIN,1,ALTKIRCH,ALTKIRCH
68,HAUT-RHIN,2,COLMAR,COLMAR
68,HAUT-RHIN,3,GUEBWILLER,COLMAR
68,HAUT-RHIN,4,MULHOUSE,ALTKIRCH
68,HAUT-RHIN,5,RIBEAUVILLE,COLMAR
68,HAUT-RHIN,6,THANN,BELFORT
73,SAVOIE,1,ALBERTVILLE,MOUTIERS
73,SAVOIE,2,CHAMBERY,CHAMBERY
73,SAVOIE,3,SAINT-JEAN-DE-MAURIENNE,SAINT-JEAN-DE-MAURIENNE
74,HAUTE-SAVOIE,1,ANNECY,ANNECY
74,HAUTE-SAVOIE,2,BONNEVILLE,CLUSES
74,HAUTE-SAVOIE,3,SAINT-JULIEN-EN-GENEVOIS,CAROUGE
74,HAUTE-SAVOIE,4,THONON-LES-BAINS,THONON
92,HAUTS-DE-SEINE,1,ANTONY,BOURG LA REINE
92,HAUTS-DE-SEINE,2,NANTERRE,ST DENIS
92,HAUTS-DE-SEINE,3,BOULOGNE-BILLANCOURT,ST DENIS
93,SEINE-SAINT-DENIS,1,BOBIGNY,ST DENIS
93,SEINE-SAINT-DENIS,2,RAINCY,ST DENIS
93,SEINE-SAINT-DENIS,3,SAINT-DENIS,ST DENIS
94,VAL-DE-MARNE,1,CRETEIL,BOURG LA REINE
94,VAL-DE-MARNE,2,NOGENT-SUR-MARNE,BOURG LA REINE
94,VAL-DE-MARNE,3,HAY-LES-ROSES,BOURG LA REINE
