dep,nomdep,codecommune,nomcommune,codeagglo,nomagglo
01,AIN,01118,CORBONOD,A00165,SEYSSEL
01,AIN,01407,SEYSSEL,A00165,SEYSSEL
01,AIN,01033,VALSERHÔNE,A00360,VALSERHÔNE
01,AIN,01183,GUÉREINS,A00451,BELLEVILLE-EN-BEAUJOLAIS
01,AIN,01263,MONTMERLE-SUR-SAÔNE,A00451,BELLEVILLE-EN-BEAUJOLAIS
01,AIN,01370,SAINT-LAURENT-SUR-SAÔNE,A00554,MÂCON
01,AIN,01160,FERNEY-VOLTAIRE,A00653,GENÈVE-(SUI)-ANNEMASSE-(PARTIE-FRANÇAISE)
01,AIN,01281,ORNEX,A00653,GENÈVE-(SUI)-ANNEMASSE-(PARTIE-FRANÇAISE)
01,AIN,01313,PRÉVESSIN-MOËNS,A00653,GENÈVE-(SUI)-ANNEMASSE-(PARTIE-FRANÇAISE)
01,AIN,01354,SAINT-GENIS-POUILLY,A00653,GENÈVE-(SUI)-ANNEMASSE-(PARTIE-FRANÇAISE)
01,AIN,01401,SERGY,A00653,GENÈVE-(SUI)-ANNEMASSE-(PARTIE-FRANÇAISE)
01,AIN,01419,THOIRY,A00653,GENÈVE-(SUI)-ANNEMASSE-(PARTIE-FRANÇAISE)
01,AIN,01030,BEAUREGARD,A00760,LYON
01,AIN,01043,BEYNOST,A00760,LYON
01,AIN,01049,BOISSE,A00760,LYON
01,AIN,01142,DAGNEUX,A00760,LYON
01,AIN,01157,FAREINS,A00760,LYON
01,AIN,01166,FRANS,A00760,LYON
01,AIN,01194,JASSANS-RIOTTIER,A00760,LYON
01,AIN,01238,MASSIEUX,A00760,LYON
01,AIN,01249,MIRIBEL,A00760,LYON
01,AIN,01250,MISÉRIEUX,A00760,LYON
01,AIN,01262,MONTLUEL,A00760,LYON
01,AIN,01275,NEYRON,A00760,LYON
01,AIN,01285,PARCIEUX,A00760,LYON
01,AIN,01322,REYRIEUX,A00760,LYON
01,AIN,01339,SAINT-BERNARD,A00760,LYON
01,AIN,01347,SAINT-DIDIER-DE-FORMANS,A00760,LYON
01,AIN,01353,SAINTE-EUPHÉMIE,A00760,LYON
01,AIN,01376,SAINT-MAURICE-DE-BEYNOST,A00760,LYON
01,AIN,01423,TOUSSIEUX,A00760,LYON
01,AIN,01427,TRÉVOUX,A00760,LYON
01,AIN,01112,CONDAMINE,A01101,SAINT-MARTIN-DU-FRÊNE
01,AIN,01228,MAILLAT,A01101,SAINT-MARTIN-DU-FRÊNE
01,AIN,01373,SAINT-MARTIN-DU-FRÊNE,A01101,SAINT-MARTIN-DU-FRÊNE
01,AIN,01153,ÉCHENEVEX,A01102,ÉCHENEVEX
01,AIN,01435,VERSONNEX,A01103,VERSONNEX
01,AIN,01092,CHÂTILLON-LA-PALUD,A01104,CHÂTILLON-LA-PALUD
01,AIN,01449,VILLETTE-SUR-AIN,A01104,CHÂTILLON-LA-PALUD
01,AIN,01074,CHALAMONT,A01105,CHALAMONT
01,AIN,01301,POLLIAT,A01106,POLLIAT
